name,time,duration,host,host_field,invocation
matrix_multiplication,1500113003938000000,156,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,59a4f1f4-2dc5-45df-a39c-05132f33a13f
matrix_multiplication,1500113004126000000,93,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,5723b91d-ceed-41ca-8ffb-4dea3f83d483
matrix_multiplication,1500113004219000000,63,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,3d0248de-f611-4747-b993-3858d69dc93f
matrix_multiplication,1500113004313000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,23d40309-f569-43a8-b94d-0c771cbe20b8
matrix_multiplication,1500113004407000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,ea0d4903-325f-4b6a-842a-11ca31103cbb
matrix_multiplication,1500113004516000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,e6167ca8-9539-405b-ba2c-729dc87af099
matrix_multiplication,1500113004626000000,62,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,4a7b7a75-e444-4be9-be61-a85504da87e8
matrix_multiplication,1500113004719000000,63,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,864c70ec-9fe1-481e-ad61-54acf06919a2
matrix_multiplication,1500113004813000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,fe29b3f4-cd40-4382-980d-ee50b0602cd1
matrix_multiplication,1500113004907000000,94,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,9d3856d1-7a52-4904-9228-72f764771175
matrix_multiplication,1500113005016000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,75fa2ddb-7ff1-416d-8dd1-124fc384f79b
matrix_multiplication,1500113005126000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,c2c7dd3a-a4eb-423f-9519-e20ebc5b2440
matrix_multiplication,1500113005219000000,79,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,452bbebd-df14-42dd-bf48-a625c2105c06
matrix_multiplication,1500113005313000000,63,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,7c77da59-969b-47b1-b051-d3ed3dc44195
matrix_multiplication,1500113005407000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,622ff475-58db-43d7-bedd-7c011f5f2077
matrix_multiplication,1500113005516000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,0ddb2570-cdbc-4a44-966a-61feadc17a51
matrix_multiplication,1500113005626000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,e635ed0b-5a36-48a8-85ca-76ded9ffb35d
matrix_multiplication,1500113005719000000,79,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,373fb769-1003-417c-8943-e7dfe5eaed29
matrix_multiplication,1500113005829000000,94,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,bd2080e4-d2da-4f18-9727-92999431ed2c
matrix_multiplication,1500113005938000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,993c2899-76d6-494c-b08f-40d1bd76432c
matrix_multiplication,1500113006032000000,62,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,2e211505-3eb5-4b5c-a048-2d570b26570c
matrix_multiplication,1500113006110000000,141,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,22a3ffce-0097-49dc-92c1-e8c209699726
matrix_multiplication,1500113006251000000,125,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,a01c2233-50ff-4efd-b9b0-b5741c3e28b6
matrix_multiplication,1500113006422000000,79,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,35df1a7f-a637-44bf-b433-a98026cf4bb9
matrix_multiplication,1500113006516000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,34391b52-f724-4a9a-972e-e08356a4c9d4
matrix_multiplication,1500113006610000000,219,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,4e841c7f-7612-444a-b4da-0c2c228f2079
matrix_multiplication,1500113006829000000,94,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,2ff19d09-e688-44bf-9de3-a0a99e361e17
matrix_multiplication,1500113006938000000,110,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,0f8c5fdb-ab4f-4941-9173-ef054f5dda8f
matrix_multiplication,1500113007079000000,78,5968d0e44d4307100edd7bbcf606758ebd86517736ecfce5520a08d30d895c1f,,8bdfc724-24c7-4f2a-a467-ed8ce612ddf6
