name,time,count
matrix_multiplication_kinesis_aws,2017-08-29T17:51:53Z,3
matrix_multiplication_kinesis_aws,2017-08-29T17:51:54Z,1
matrix_multiplication_kinesis_aws,2017-08-29T17:51:55Z,1
matrix_multiplication_kinesis_aws,2017-08-29T17:51:56Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:51:57Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:51:58Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:51:59Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:00Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:01Z,1
matrix_multiplication_kinesis_aws,2017-08-29T17:52:02Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:03Z,2
matrix_multiplication_kinesis_aws,2017-08-29T17:52:04Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:05Z,4
matrix_multiplication_kinesis_aws,2017-08-29T17:52:06Z,3
matrix_multiplication_kinesis_aws,2017-08-29T17:52:07Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:08Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:09Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:10Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:11Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:12Z,1
matrix_multiplication_kinesis_aws,2017-08-29T17:52:13Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:14Z,1
matrix_multiplication_kinesis_aws,2017-08-29T17:52:15Z,1
matrix_multiplication_kinesis_aws,2017-08-29T17:52:16Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:17Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:18Z,4
matrix_multiplication_kinesis_aws,2017-08-29T17:52:19Z,3
matrix_multiplication_kinesis_aws,2017-08-29T17:52:20Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:21Z,0
matrix_multiplication_kinesis_aws,2017-08-29T17:52:22Z,0
