"name","time","duration"
"Krok 1","2017-09-02T17:58:45.245Z",1794
"Krok 1","2017-09-02T17:58:47.679Z",1890
"Krok 1","2017-09-02T17:58:50.071Z",1173
"Krok 1","2017-09-02T17:58:52.156Z",2293
"Krok 1","2017-09-02T17:58:54.96Z",1018
"Krok 1","2017-09-02T17:58:56.58Z",1801
"Krok 1","2017-09-02T17:58:59.045Z",2474
"Krok 1","2017-09-02T17:59:02.111Z",1516
"Krok 1","2017-09-02T17:59:04.202Z",1821
"Krok 1","2017-09-02T17:59:06.738Z",1845
"Krok 1","2017-09-02T17:59:09.146Z",1770
"Krok 1","2017-09-02T17:59:11.415Z",1611
"Krok 1","2017-09-02T17:59:13.61Z",2168
"Krok 1","2017-09-02T17:59:16.562Z",1703
"Krok 1","2017-09-02T17:59:19.038Z",1388
"Krok 1","2017-09-02T17:59:21.25Z",1166
"Krok 1","2017-09-02T17:59:22.938Z",1416
"Krok 1","2017-09-02T17:59:24.976Z",1885
"Krok 1","2017-09-02T17:59:27.637Z",1936
"Krok 1","2017-09-02T17:59:30.169Z",1690
"Krok 1","2017-09-02T17:59:32.46Z",2693
"Krok 1","2017-09-02T17:59:35.939Z",1983
"Krok 1","2017-09-02T17:59:38.508Z",1614
"Krok 1","2017-09-02T17:59:40.841Z",2400
"Krok 1","2017-09-02T17:59:43.954Z",2025
"Krok 1","2017-09-02T17:59:46.887Z",3143
"Krok 1","2017-09-02T17:59:50.605Z",1431
"Krok 1","2017-09-02T17:59:52.859Z",1886
"Krok 1","2017-09-02T17:59:55.528Z",1851
"Krok 1","2017-09-02T17:59:58.029Z",1807
"Krok 1","2017-09-02T18:00:00.486Z",2164
"Krok 1","2017-09-02T18:00:03.289Z",2056
"Krok 1","2017-09-02T18:00:06.041Z",1804
"Krok 1","2017-09-02T18:00:08.43Z",1071
"Krok 1","2017-09-02T18:00:10.35Z",2002
"Krok 1","2017-09-02T18:00:12.888Z",1742
"Krok 1","2017-09-02T18:00:15.235Z",2214
"Krok 1","2017-09-02T18:00:18.258Z",3330
"Krok 1","2017-09-02T18:00:22.073Z",1740
"Krok 1","2017-09-02T18:00:24.438Z",1501
"Krok 1","2017-09-02T18:00:26.435Z",1640
"Krok 1","2017-09-02T18:00:28.668Z",1211
"Krok 1","2017-09-02T18:00:30.598Z",1340
"Krok 1","2017-09-02T18:00:32.554Z",2481
"Krok 1","2017-09-02T18:00:35.778Z",2473
"Krok 1","2017-09-02T18:00:38.938Z",1972
"Krok 1","2017-09-02T18:00:41.679Z",2242
"Krok 1","2017-09-02T18:00:44.438Z",1444
"Krok 1","2017-09-02T18:00:46.604Z",2144
"Krok 1","2017-09-02T18:00:49.483Z",1066
"Krok 1","2017-09-02T18:00:51.139Z",1521
"Krok 1","2017-09-02T18:00:53.353Z",1632
"Krok 1","2017-09-02T18:00:55.774Z",1533
"Krok 1","2017-09-02T18:00:58.083Z",7211
"Krok 1","2017-09-02T18:01:05.914Z",1061
"Krok 1","2017-09-02T18:01:07.718Z",1012
"Krok 1","2017-09-02T18:01:09.311Z",1761
"Krok 1","2017-09-02T18:01:11.758Z",2147
"Krok 1","2017-09-02T18:01:14.433Z",1686
"Krok 1","2017-09-02T18:01:16.71Z",1897
"Krok 1","2017-09-02T18:01:19.478Z",1023
"Krok 1","2017-09-02T18:01:21.218Z",1735
"Krok 1","2017-09-02T18:01:23.451Z",1633
"Krok 1","2017-09-02T18:01:25.893Z",2217
"Krok 1","2017-09-02T18:01:28.957Z",1517
"Krok 1","2017-09-02T18:01:31.089Z",1432
"Krok 1","2017-09-02T18:01:33.108Z",1424
"Krok 1","2017-09-02T18:01:35.093Z",1487
"Krok 1","2017-09-02T18:01:37.256Z",2218
"Krok 1","2017-09-02T18:01:40.044Z",1851
"Krok 1","2017-09-02T18:01:42.498Z",1171
"Krok 1","2017-09-02T18:01:44.237Z",1925
"Krok 1","2017-09-02T18:01:46.818Z",2571
"Krok 1","2017-09-02T18:01:50.079Z",1948
"Krok 1","2017-09-02T18:01:52.625Z",1587
"Krok 1","2017-09-02T18:01:54.908Z",1056
"Krok 1","2017-09-02T18:01:56.623Z",1462
"Krok 1","2017-09-02T18:01:58.778Z",1967
"Krok 1","2017-09-02T18:02:01.598Z",1853
"Krok 1","2017-09-02T18:02:04.134Z",1910
"Krok 1","2017-09-02T18:02:06.73Z",2298
"Krok 1","2017-09-02T18:02:09.641Z",2358
"Krok 1","2017-09-02T18:02:12.706Z",1466
"Krok 1","2017-09-02T18:02:14.864Z",2674
"Krok 1","2017-09-02T18:02:18.238Z",1691
"Krok 1","2017-09-02T18:02:20.536Z",1621
"Krok 1","2017-09-02T18:02:22.806Z",2434
"Krok 1","2017-09-02T18:02:26.036Z",1780
"Krok 1","2017-09-02T18:02:28.422Z",1819
"Krok 1","2017-09-02T18:02:31.081Z",1178
"Krok 1","2017-09-02T18:02:32.873Z",1564
"Krok 1","2017-09-02T18:02:35.038Z",3037
"Krok 1","2017-09-02T18:02:38.606Z",2092
"Krok 1","2017-09-02T18:02:41.298Z",1778
"Krok 1","2017-09-02T18:02:43.874Z",2244
"Krok 1","2017-09-02T18:02:46.987Z",1934
"Krok 1","2017-09-02T18:02:49.598Z",2819
"Krok 1","2017-09-02T18:02:53.036Z",1370
"Krok 1","2017-09-02T18:02:55.098Z",1736
"Krok 1","2017-09-02T18:02:57.47Z",1569
"Krok 2","2017-09-02T17:58:45.245Z",355
"Krok 2","2017-09-02T17:58:47.679Z",430
"Krok 2","2017-09-02T17:58:50.071Z",394
"Krok 2","2017-09-02T17:58:52.156Z",410
"Krok 2","2017-09-02T17:58:54.96Z",390
"Krok 2","2017-09-02T17:58:56.58Z",405
"Krok 2","2017-09-02T17:58:59.045Z",381
"Krok 2","2017-09-02T17:59:02.111Z",369
"Krok 2","2017-09-02T17:59:04.202Z",348
"Krok 2","2017-09-02T17:59:06.738Z",351
"Krok 2","2017-09-02T17:59:09.146Z",429
"Krok 2","2017-09-02T17:59:11.415Z",342
"Krok 2","2017-09-02T17:59:13.61Z",335
"Krok 2","2017-09-02T17:59:16.562Z",543
"Krok 2","2017-09-02T17:59:19.038Z",325
"Krok 2","2017-09-02T17:59:21.25Z",342
"Krok 2","2017-09-02T17:59:22.938Z",368
"Krok 2","2017-09-02T17:59:24.976Z",348
"Krok 2","2017-09-02T17:59:27.637Z",349
"Krok 2","2017-09-02T17:59:30.169Z",402
"Krok 2","2017-09-02T17:59:32.46Z",488
"Krok 2","2017-09-02T17:59:35.939Z",335
"Krok 2","2017-09-02T17:59:38.508Z",351
"Krok 2","2017-09-02T17:59:40.841Z",376
"Krok 2","2017-09-02T17:59:43.954Z",344
"Krok 2","2017-09-02T17:59:46.887Z",353
"Krok 2","2017-09-02T17:59:50.605Z",807
"Krok 2","2017-09-02T17:59:52.859Z",576
"Krok 2","2017-09-02T17:59:55.528Z",432
"Krok 2","2017-09-02T17:59:58.029Z",1388
"Krok 2","2017-09-02T18:00:00.486Z",338
"Krok 2","2017-09-02T18:00:03.289Z",364
"Krok 2","2017-09-02T18:00:06.041Z",361
"Krok 2","2017-09-02T18:00:08.43Z",767
"Krok 2","2017-09-02T18:00:10.35Z",403
"Krok 2","2017-09-02T18:00:12.888Z",335
"Krok 2","2017-09-02T18:00:15.235Z",491
"Krok 2","2017-09-02T18:00:18.258Z",344
"Krok 2","2017-09-02T18:00:22.073Z",445
"Krok 2","2017-09-02T18:00:24.438Z",343
"Krok 2","2017-09-02T18:00:26.435Z",338
"Krok 2","2017-09-02T18:00:28.668Z",349
"Krok 2","2017-09-02T18:00:30.598Z",581
"Krok 2","2017-09-02T18:00:32.554Z",817
"Krok 2","2017-09-02T18:00:35.778Z",591
"Krok 2","2017-09-02T18:00:38.938Z",637
