"name","time","duration"
"Krok 1","2017-09-02T17:17:21.297Z",9786
"Krok 1","2017-09-02T17:17:32.188Z",17702
"Krok 1","2017-09-02T17:17:50.474Z",12423
"Krok 1","2017-09-02T17:18:03.457Z",11116
"Krok 1","2017-09-02T17:18:15.252Z",9879
"Krok 1","2017-09-02T17:18:25.879Z",14872
"Krok 1","2017-09-02T17:18:41.489Z",10080
"Krok 1","2017-09-02T17:18:52.104Z",10046
"Krok 1","2017-09-02T17:19:02.685Z",10467
"Krok 1","2017-09-02T17:19:13.747Z",11071
"Krok 1","2017-09-02T17:19:25.617Z",10644
"Krok 1","2017-09-02T17:19:36.894Z",13014
"Krok 1","2017-09-02T17:19:51.347Z",10663
"Krok 1","2017-09-02T17:20:02.722Z",10301
"Krok 1","2017-09-02T17:20:13.661Z",10801
"Krok 1","2017-09-02T17:20:25.154Z",12502
"Krok 1","2017-09-02T17:20:38.467Z",9367
"Krok 1","2017-09-02T17:20:48.339Z",12522
"Krok 1","2017-09-02T17:21:02.984Z",9252
"Krok 1","2017-09-02T17:21:12.834Z",11685
"Krok 2","2017-09-02T17:17:21.297Z",1823
"Krok 2","2017-09-02T17:17:32.188Z",1860
"Krok 2","2017-09-02T17:17:50.474Z",1788
"Krok 2","2017-09-02T17:18:03.457Z",1792
"Krok 2","2017-09-02T17:18:15.252Z",1721
"Krok 2","2017-09-02T17:18:25.879Z",1826
"Krok 2","2017-09-02T17:18:41.489Z",2169
"Krok 2","2017-09-02T17:18:52.104Z",1810
"Krok 2","2017-09-02T17:19:02.685Z",1878
"Krok 2","2017-09-02T17:19:13.747Z",1779
"Krok 2","2017-09-02T17:19:25.617Z",1880
"Krok 2","2017-09-02T17:19:36.894Z",1900
"Krok 2","2017-09-02T17:19:51.347Z",1934
"Krok 2","2017-09-02T17:20:02.722Z",2096
"Krok 2","2017-09-02T17:20:13.661Z",1790
"Krok 2","2017-09-02T17:20:25.154Z",1815
"Krok 2","2017-09-02T17:20:38.467Z",2244
"Krok 2","2017-09-02T17:20:48.339Z",1905
"Krok 2","2017-09-02T17:21:02.984Z",2287
"Krok 2","2017-09-02T17:21:12.834Z",1717
"Czas oczekiwania","2017-09-02T17:17:21.297Z",136
"Czas oczekiwania","2017-09-02T17:17:32.188Z",94
"Czas oczekiwania","2017-09-02T17:17:50.474Z",129
"Czas oczekiwania","2017-09-02T17:18:03.457Z",205
"Czas oczekiwania","2017-09-02T17:18:15.252Z",120
"Czas oczekiwania","2017-09-02T17:18:25.879Z",102
"Czas oczekiwania","2017-09-02T17:18:41.489Z",170
"Czas oczekiwania","2017-09-02T17:18:52.104Z",181
"Czas oczekiwania","2017-09-02T17:19:02.685Z",90
"Czas oczekiwania","2017-09-02T17:19:13.747Z",93
"Czas oczekiwania","2017-09-02T17:19:25.617Z",91
"Czas oczekiwania","2017-09-02T17:19:36.894Z",140
"Czas oczekiwania","2017-09-02T17:19:51.347Z",1996
"Czas oczekiwania","2017-09-02T17:20:02.722Z",129
"Czas oczekiwania","2017-09-02T17:20:13.661Z",112
"Czas oczekiwania","2017-09-02T17:20:25.154Z",87
"Czas oczekiwania","2017-09-02T17:20:38.467Z",126
"Czas oczekiwania","2017-09-02T17:20:48.339Z",135
"Czas oczekiwania","2017-09-02T17:21:02.984Z",93
"Czas oczekiwania","2017-09-02T17:21:12.834Z",228
