"type","time","duration"
"data_intensive_inertia","2017-08-10T18:21:30.186Z",105
"data_intensive_inertia","2017-08-10T18:21:35.283Z",92
"data_intensive_inertia","2017-08-10T18:21:41.269Z",92
"data_intensive_inertia","2017-08-10T18:21:45.598Z",83
"data_intensive_inertia","2017-08-10T18:21:50.507Z",124
"data_intensive_inertia","2017-08-10T18:21:56.001Z",141
"data_intensive_inertia","2017-08-10T18:22:01.353Z",127
"data_intensive_inertia","2017-08-10T18:22:06.508Z",364
"data_intensive_inertia","2017-08-10T18:22:11.082Z",125
"data_intensive_inertia","2017-08-10T18:22:16.658Z",87
"data_intensive_inertia","2017-08-10T18:22:20.502Z",106
"data_intensive_inertia","2017-08-10T18:22:25.39Z",91
"data_intensive_inertia","2017-08-10T18:22:29.499Z",110
"data_intensive_inertia","2017-08-10T18:22:32.926Z",96
"data_intensive_inertia","2017-08-10T18:22:36.366Z",85
"data_intensive_inertia","2017-08-10T18:22:41.925Z",193
"data_intensive_inertia","2017-08-10T18:22:46.152Z",123
"data_intensive_inertia","2017-08-10T18:22:52.858Z",93
"data_intensive_inertia","2017-08-10T18:22:56.937Z",99
"data_intensive_inertia","2017-08-10T18:23:00.475Z",88
"data_intensive_inertia","2017-08-10T18:23:06.203Z",131
"data_intensive_inertia","2017-08-10T18:23:12.044Z",124
"data_intensive_inertia","2017-08-10T18:23:16.217Z",105
"data_intensive_inertia","2017-08-10T18:23:21.363Z",746
"data_intensive_inertia","2017-08-10T18:23:27.793Z",94
"data_intensive_inertia","2017-08-10T18:23:33.102Z",122
"data_intensive_inertia","2017-08-10T18:23:42.117Z",89
"data_intensive_inertia","2017-08-10T18:23:49.289Z",82
"data_intensive_inertia","2017-08-10T18:23:54.006Z",87
"data_intensive_inertia","2017-08-10T18:23:58.429Z",87
"data_intensive_inertia","2017-08-10T18:24:02.662Z",393
"data_intensive_inertia","2017-08-10T18:24:07.382Z",176
"data_intensive_inertia","2017-08-10T18:24:11.966Z",129
"data_intensive_inertia","2017-08-10T18:24:15.838Z",79
"data_intensive_inertia","2017-08-10T18:24:21.253Z",97
"data_intensive_inertia","2017-08-10T18:24:26.814Z",86
"data_intensive_inertia","2017-08-10T18:24:30.361Z",95
"data_intensive_inertia","2017-08-10T18:24:34.939Z",91
"data_intensive_inertia","2017-08-10T18:24:39.67Z",98
"data_intensive_inertia","2017-08-10T18:24:47.85Z",144
"data_intensive_inertia","2017-08-10T18:24:53.116Z",5
"data_intensive_inertia","2017-08-10T18:24:57.427Z",235
"data_intensive_inertia","2017-08-10T18:25:01.539Z",156
"data_intensive_inertia","2017-08-10T18:25:06.43Z",194
"data_intensive_inertia","2017-08-10T18:25:12.793Z",3114
"data_intensive_inertia","2017-08-10T18:25:17.389Z",125
"data_intensive_inertia","2017-08-10T18:25:21.401Z",89
"data_intensive_inertia","2017-08-10T18:25:25.072Z",95
"data_intensive_inertia","2017-08-10T18:25:30.724Z",95
"data_intensive_inertia","2017-08-10T18:25:35.362Z",508
"data_intensive_inertia","2017-08-10T18:25:40.309Z",82
"data_intensive_inertia","2017-08-10T18:25:43.683Z",90
"data_intensive_inertia","2017-08-10T18:25:48.861Z",138
"data_intensive_inertia","2017-08-10T18:25:54.529Z",83
"data_intensive_inertia","2017-08-10T18:25:59.608Z",103
"data_intensive_inertia","2017-08-10T18:26:03.895Z",85
"data_intensive_inertia","2017-08-10T18:26:09.1Z",75
"data_intensive_inertia","2017-08-10T18:26:14.259Z",85
