name,time,duration
Krok 2,2017-08-10T18:23:21.363Z,1396
Krok 2,2017-08-10T18:23:27.793Z,3354
Krok 2,2017-08-10T18:23:33.102Z,984
Krok 2,2017-08-10T18:23:42.117Z,948
Krok 2,2017-08-10T18:23:49.289Z,1015
Krok 2,2017-08-10T18:23:54.006Z,943
Krok 2,2017-08-10T18:23:58.429Z,1185
Krok 2,2017-08-10T18:24:02.662Z,1245
Krok 2,2017-08-10T18:24:07.382Z,987
Krok 2,2017-08-10T18:24:11.966Z,1081
Krok 2,2017-08-10T18:24:15.838Z,1254
Krok 2,2017-08-10T18:24:21.253Z,1113
Krok 2,2017-08-10T18:24:26.814Z,958
Krok 2,2017-08-10T18:24:30.361Z,949
Krok 2,2017-08-10T18:24:34.939Z,1248
Krok 2,2017-08-10T18:24:39.67Z,997
Krok 2,2017-08-10T18:24:47.85Z,1863
Krok 2,2017-08-10T18:24:53.116Z,952
Krok 2,2017-08-10T18:24:57.427Z,1007
Krok 2,2017-08-10T18:25:01.539Z,981
Krok 2,2017-08-10T18:25:06.43Z,938
Krok 2,2017-08-10T18:25:12.793Z,933
Krok 2,2017-08-10T18:25:17.389Z,980
Krok 2,2017-08-10T18:25:21.401Z,1312
Krok 2,2017-08-10T18:25:25.072Z,1368
Krok 2,2017-08-10T18:25:30.724Z,1089
Krok 2,2017-08-10T18:25:35.362Z,970
Krok 2,2017-08-10T18:25:40.309Z,975
Krok 2,2017-08-10T18:25:43.683Z,948
Krok 2,2017-08-10T18:25:48.861Z,933
Krok 2,2017-08-10T18:25:54.529Z,1403
Krok 2,2017-08-10T18:25:59.608Z,927
Krok 2,2017-08-10T18:26:03.895Z,1021
Krok 2,2017-08-10T18:26:09.1Z,1000
Krok 2,2017-08-10T18:26:14.259Z,1028
Krok 2,2017-08-10T18:26:18.616Z,1000
Krok 2,2017-08-10T18:26:23.13Z,965
Krok 2,2017-08-10T18:26:28.129Z,1106
Krok 2,2017-08-10T18:26:32.949Z,854
Krok 2,2017-08-10T18:26:41.069Z,942
Krok 2,2017-08-10T18:26:44.589Z,1103
Krok 2,2017-08-10T18:26:49.259Z,930
Krok 2,2017-08-10T18:26:54.25Z,1005
Krok 2,2017-08-10T18:26:59.789Z,969
Krok 2,2017-08-10T18:27:04.609Z,958
Krok 2,2017-08-10T18:27:09.269Z,926
Krok 2,2017-08-10T18:27:13.712Z,1352
Krok 2,2017-08-10T18:27:18.429Z,986
Krok 2,2017-08-10T18:27:24.289Z,977
Krok 2,2017-08-10T18:27:29.311Z,1021
Krok 2,2017-08-10T18:27:33.089Z,956
Krok 2,2017-08-10T18:27:38.774Z,950
Krok 2,2017-08-10T18:27:47.538Z,1026
Krok 2,2017-08-10T18:27:57.749Z,930
Krok 2,2017-08-10T18:28:02.909Z,949
Krok 2,2017-08-10T18:28:07.089Z,809
Krok 2,2017-08-10T18:28:12.801Z,975
Krok 2,2017-08-10T18:28:16.89Z,950
Krok 2,2017-08-10T18:28:21.675Z,953
Krok 2,2017-08-10T18:28:26.391Z,958
Krok 2,2017-08-10T18:28:30.701Z,924
Krok 2,2017-08-10T18:28:36.389Z,1037
Krok 2,2017-08-10T18:28:44.009Z,939
Krok 2,2017-08-10T18:28:48.854Z,932
Krok 2,2017-08-10T18:28:53.076Z,935
