"name","time","duration"
"Czas oczekiwania","2017-09-02T15:22:48.102Z",84
"Czas oczekiwania","2017-09-02T15:22:49.853Z",90
"Czas oczekiwania","2017-09-02T15:22:51.487Z",121
"Czas oczekiwania","2017-09-02T15:22:53.162Z",116
"Czas oczekiwania","2017-09-02T15:22:54.66Z",95
"Czas oczekiwania","2017-09-02T15:22:56.091Z",88
"Czas oczekiwania","2017-09-02T15:22:57.691Z",120
"Czas oczekiwania","2017-09-02T15:22:59.3Z",83
"Czas oczekiwania","2017-09-02T15:23:00.773Z",159
"Czas oczekiwania","2017-09-02T15:23:02.487Z",206
"Czas oczekiwania","2017-09-02T15:23:04.131Z",87
"Czas oczekiwania","2017-09-02T15:23:06.016Z",85
"Czas oczekiwania","2017-09-02T15:23:07.818Z",102
"Czas oczekiwania","2017-09-02T15:23:09.418Z",139
"Czas oczekiwania","2017-09-02T15:23:11.11Z",78
"Czas oczekiwania","2017-09-02T15:23:12.341Z",122
"Czas oczekiwania","2017-09-02T15:23:14.04Z",1052
"Czas oczekiwania","2017-09-02T15:23:15.664Z",89
"Czas oczekiwania","2017-09-02T15:23:17.317Z",119
"Czas oczekiwania","2017-09-02T15:23:18.771Z",84
"Czas oczekiwania","2017-09-02T15:23:20.019Z",81
"Czas oczekiwania","2017-09-02T15:23:21.365Z",97
"Czas oczekiwania","2017-09-02T15:23:23.626Z",90
"Czas oczekiwania","2017-09-02T15:23:24.783Z",96
"Czas oczekiwania","2017-09-02T15:23:25.987Z",88
"Czas oczekiwania","2017-09-02T15:23:27.719Z",157
"Czas oczekiwania","2017-09-02T15:23:29.303Z",91
"Czas oczekiwania","2017-09-02T15:23:30.869Z",78
"Czas oczekiwania","2017-09-02T15:23:32.427Z",170
"Czas oczekiwania","2017-09-02T15:23:33.74Z",68
"Czas oczekiwania","2017-09-02T15:23:35.311Z",144
"Czas oczekiwania","2017-09-02T15:23:37.036Z",128
"Czas oczekiwania","2017-09-02T15:23:38.6Z",84
"Czas oczekiwania","2017-09-02T15:23:40.135Z",84
"Czas oczekiwania","2017-09-02T15:23:41.949Z",128
"Czas oczekiwania","2017-09-02T15:23:43.674Z",397
"Czas oczekiwania","2017-09-02T15:23:45.331Z",89
"Czas oczekiwania","2017-09-02T15:23:46.782Z",75
"Czas oczekiwania","2017-09-02T15:23:48.402Z",1372
"Czas oczekiwania","2017-09-02T15:23:49.951Z",783
"Czas oczekiwania","2017-09-02T15:23:51.541Z",115
"Czas oczekiwania","2017-09-02T15:23:53.251Z",128
"Czas oczekiwania","2017-09-02T15:23:54.851Z",115
"Czas oczekiwania","2017-09-02T15:23:56.353Z",116
"Czas oczekiwania","2017-09-02T15:23:57.993Z",153
"Czas oczekiwania","2017-09-02T15:23:59.845Z",115
"Czas oczekiwania","2017-09-02T15:24:00.97Z",115
"Czas oczekiwania","2017-09-02T15:24:02.661Z",186
"Czas oczekiwania","2017-09-02T15:24:03.677Z",164
"Czas oczekiwania","2017-09-02T15:24:05.086Z",198
"Czas oczekiwania","2017-09-02T15:24:06.511Z",133
